run_id,top,status,NUM_RD_PORTS,NUM_WR_PORTS,BITWIDTH,NUM_REGS,NUM_BANKS,chip_area_um2,seq_area_um2,total_cells,ff_count,n_wires,n_wire_bits,n_pub_wires,n_ports,pnr_die_area_um2,pnr_core_area_um2,pnr_total_area_um2,pnr_active_area_um2,pnr_core_utilization,sweep
port/NUM_RD_PORTS4_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32,regfile,OK,4,2,32,32,,150577.2072,50164.5312,10634,1024,8467,10732,8,7,177198.9025,176424.9984,150620.6016,150620.6016,0.8537372989427783,port
port/NUM_RD_PORTS4_NUM_WR_PORTS3_BITWIDTH32_NUM_REGS32,regfile,OK,4,3,32,32,,169017.3702,50164.5312,11531,1024,9364,11667,8,7,198866.943025,197212.5792,169036.7616,169036.7616,0.8571297139650207,port
port/NUM_RD_PORTS6_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32,regfile,OK,6,1,32,32,,167545.098,50164.5312,11320,1024,10112,11390,8,7,186166.3609,185743.7568,167550.768,167550.768,0.9020532958230768,port
port/NUM_RD_PORTS6_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32,regfile,OK,6,2,32,32,,183642.3036,50164.5312,13586,1024,11355,13694,8,7,216104.1169,214273.3824,183688.0416,183688.0416,0.8572601950955155,port
port/NUM_RD_PORTS6_NUM_WR_PORTS3_BITWIDTH32_NUM_REGS32,regfile,OK,6,3,32,32,,199275.552,50164.5312,14140,1024,11909,14286,8,7,234473.850625,234101.1456,199304.5824,199304.5824,0.8513609871031746,port
port/NUM_RD_PORTS8_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32,regfile,OK,8,1,32,32,,206616.312,50164.5312,15150,1024,13878,15230,8,7,229584.7225,228157.1712,206625.6864,206625.6864,0.9056287177529664,port
port/NUM_RD_PORTS8_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32,regfile,OK,8,2,32,32,,222448.1616,50164.5312,17264,1024,14969,17382,8,7,261760.140625,260865.36,222496.2432,222496.2432,0.8529160146061555,port
port/NUM_RD_PORTS8_NUM_WR_PORTS3_BITWIDTH32_NUM_REGS32,regfile,OK,8,3,32,32,,239342.3046,50164.5312,17598,1024,15303,17754,8,7,265977.4329,265018.5216,239381.0496,239381.0496,0.9032615839631944,port
bitwidth/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH4_NUM_REGS32,regfile,OK,2,1,4,32,,13029.2064,6270.5664,686,128,558,708,8,7,14479.3089,14061.6,13031.0208,13031.0208,0.9267096774193548,bitwidth
bitwidth/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH8_NUM_REGS32,regfile,OK,2,1,8,32,,24929.856,12541.1328,1151,256,887,1177,8,7,27703.938025,27622.4256,24933.4848,24933.4848,0.902653704676826,bitwidth
bitwidth/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH16_NUM_REGS32,regfile,OK,2,1,16,32,,49460.544,25082.2656,2069,512,1533,2103,8,7,54964.458025,54896.4864,49467.8016,49467.8016,0.9011105235325224,bitwidth
bitwidth/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32,regfile,OK,2,1,32,32,,102043.179,50164.5312,5353,1024,4273,5403,8,7,113380.3584,113198.6016,102043.6704,102043.6704,0.9014569876099954,bitwidth
bitwidth/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH64_NUM_REGS32,regfile,OK,2,1,64,32,,207845.6436,100329.0624,10608,2048,8440,10690,8,7,230942.719225,230659.2288,207850.4064,207850.4064,0.901114633398098,bitwidth
regcount/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS8,regfile,OK,2,1,32,8,,25266.1248,12541.1328,1095,256,783,1139,8,7,29730.380625,29311.632,25270.9632,25270.9632,0.8621479418136799,regcount
regcount/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS16,regfile,OK,2,1,32,16,,48556.9728,25082.2656,1558,512,990,1605,8,7,57125.7801,56810.6784,48556.9728,48556.9728,0.8547155951582512,regcount
regcount/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32,regfile,OK,2,1,32,32,,102043.179,50164.5312,5353,1024,4273,5403,8,7,113380.3584,113198.6016,102043.6704,102043.6704,0.9014569876099954,regcount
regcount/NUM_RD_PORTS2_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS64,regfile,OK,2,1,32,64,,197015.3766,100329.0624,8161,2048,6057,8214,8,7,218911.6944,217368.7488,197020.2528,197020.2528,0.9063872055558336,regcount
